,num_rel_holes_0,num_rel_holes_1,num_rel_holes_2,num_holes_0,num_holes_1,num_holes_2,avg_lifetime_0,avg_lifetime_1,avg_lifetime_2,amplitude,length_Betti_0,sum_length_0,average_length_0,onset_longest_Betti_0,smallest_onset_1,polynomial_feature_1_0,polynomial_feature_2_0,polynomial_feature_3_0,polynomial_feature_4_0,area_Betti_1
45,1,0,0,101,0,0,158415839523368.22,0.0,0.0,7999999895928832.0,1379.9166259765625,1.599999979186019e+16,158415839523368.22,0.0,0.0,0.0,4.001655159746166e+17,0.0,9.470058870427058e+42,0.0
46,1,0,0,100,0,0,159999997918601.9,0.0,0.0,7999999895928832.0,1335.4656982421875,1.599999979186019e+16,159999997918601.9,0.0,0.0,0.0,4.0416113391944755e+17,0.0,8.513851960254708e+42,0.0
47,1,0,0,101,0,0,158415839523368.22,0.0,0.0,7999999895928832.0,1288.4656982421875,1.599999979186019e+16,158415839523368.22,0.0,0.0,0.0,4.0015676490045555e+17,0.0,7.462263812626685e+42,0.0
48,1,0,0,98,0,0,89531020160798.05,0.0,0.0,4387019987877888.0,1325.6177978515625,8774039975758209.0,89531020160798.05,0.0,0.0,0.0,2.177960074621619e+17,0.0,2.493996928009361e+42,0.0
49,1,0,0,98,0,0,89531020160798.05,0.0,0.0,4387019987877888.0,1281.166748046875,8774039975758208.0,89531020160798.05,0.0,0.0,0.0,2.1777899136582602e+17,0.0,2.2074600543049473e+42,0.0
50,1,0,0,99,0,0,88626666421800.08,0.0,0.0,4387019987877888.0,1234.166748046875,8774039975758208.0,88626666421800.08,0.0,0.0,0.0,2.1555704753313552e+17,0.0,1.9227032061653992e+42,0.0
51,1,0,0,98,0,0,89531020160797.98,0.0,0.0,4387019987877888.0,1322.20458984375,8774039975758203.0,89531020160797.98,0.0,0.0,0.0,2.1729595956486896e+17,0.0,2.4665438315402622e+42,0.0
52,1,0,0,98,0,0,89531020160797.98,0.0,0.0,4387019987877888.0,1277.7535400390625,8774039975758203.0,89531020160797.98,0.0,0.0,0.0,2.1727894401335286e+17,0.0,2.1816237379654873e+42,0.0
53,1,0,0,99,0,0,88626666421800.03,0.0,0.0,4387019987877888.0,1230.7535400390625,8774039975758203.0,88626666421800.03,0.0,0.0,0.0,2.15062050183404e+17,0.0,1.8987981820238996e+42,0.0
54,1,0,0,98,0,0,36651223942481.58,0.0,0.0,1795909973180416.0,1285.24951171875,3591819946363195.0,36651223942481.58,0.0,0.0,0.0,8.661034182545443e+16,0.0,3.695265416093013e+41,0.0
55,1,0,0,99,0,0,36281009559224.195,0.0,0.0,1795909973180416.0,1240.7984619140625,3591819946363195.0,36281009559224.195,0.0,0.0,0.0,8.57285947477167e+16,0.0,3.2260618302895275e+41,0.0
56,1,0,0,99,0,0,36281009559224.19,0.0,0.0,1795909973180416.0,1193.7984619140625,3591819946363194.5,36281009559224.19,0.0,0.0,0.0,8.571952467417445e+16,0.0,2.8285480318500547e+41,0.0
57,1,0,0,98,0,0,36651223942481.58,0.0,0.0,1795909973180416.0,1285.24951171875,3591819946363195.0,36651223942481.58,0.0,0.0,0.0,8.661034189073592e+16,0.0,3.69526480723036e+41,0.0
58,1,0,0,98,0,0,36651223942481.58,0.0,0.0,1795909973180416.0,1240.7984619140625,3591819946363195.0,36651223942481.58,0.0,0.0,0.0,8.660337626075966e+16,0.0,3.2589816095951586e+41,0.0
59,1,0,0,99,0,0,36281009559224.19,0.0,0.0,1795909973180416.0,1193.7984619140625,3591819946363194.5,36281009559224.19,0.0,0.0,0.0,8.571952471053176e+16,0.0,2.828549572217411e+41,0.0
